동이름,위도,경도
귀래면,37.192029,127.879595
단계동,37.356333,127.922076
무실동,37.333583,127.982941
부론면,37.224608,127.793881
소초면,37.418784,128.001779
신림면,37.231615,128.083011
판부면,37.280635,127.998761
흥업면,37.28924,127.894466
,37.23649978,128.0706601
,37.39034837,127.8339444
,37.43185982,128.0091148
,37.34080122,127.862395
,37.233803,127.848912
,37.276382,127.771636
,37.276382,127.771636
,37.233803,127.848912
,37.366177,127.840515
,37.366177,127.840515
,37.263931,127.902774
,37.43002,127.971386
,37.279294,128.005317
,37.31175,127.90557
,37.342701,127.835656
,37.341761,127.854916
,37.245863,127.857834
,37.433386,128.005146
,37.223889,127.895614
,37.341761,127.854916
,37.387574,127.940767
,37.332362,127.832844
,37.240448,127.898263
,37.251391,128.110428
,37.209687,128.042012
,37.233803,127.848912
,37.276382,127.771636
,37.375364,127.9484
,37.363684,127.800286
,37.39582,127.919658
,37.332362,127.832844
,37.296584,127.894897
,37.295555,127.884826
,37.259298,127.870726
,37.237236,127.831606
,37.22055,127.808686
,37.383175,127.891379
,37.366177,127.840515
,37.414661,127.91442
,37.401969,127.960285
,37.378413,127.994793
,37.433386,128.005146
,37.375364,127.9484
,37.363684,127.800286
,37.39582,127.919658
,37.342701,127.835656
,37.31175,127.90557
,37.296584,127.894897
,37.295555,127.884826
,37.259298,127.870726
,37.237236,127.831606
,37.22055,127.808686
,37.223889,127.895614
,37.229708,127.897653
,37.240448,127.898263
,37.245863,127.857834
,37.370432,127.854318
,37.442773,127.989959
,37.229708,127.897653
,37.370432,127.854318
,37.442773,127.989959
,37.251391,128.110428
,37.209687,128.042012
,37.383175,127.891379
,37.233803,127.848912
,37.276382,127.771636
,37.366177,127.840515
,37.414661,127.91442
,37.401969,127.960285
,37.378413,127.994793
,37.387574,127.940767
