동이름,위도,경도,거리
무실동,37.333583,127.982941,1.212288532
판부면,37.280635,127.998761,5.29852255
단계동,37.356333,127.922076,5.892259893
흥업면,37.28924,127.894466,8.158390687
소초면,37.418784,128.001779,10.74080943
신림면,37.231615,128.083011,14.04978572
귀래면,37.192029,127.879595,16.99425422
부론면,37.224608,127.793881,19.52493539
,37.279294,128.005317,5.682262436
,37.375364,127.9484,6.137435768
,37.375364,127.9484,6.137435768
,37.378413,127.994793,6.23619975
,37.378413,127.994793,6.23619975
,37.31175,127.90557,6.332281879
,37.31175,127.90557,6.332281879
,37.387574,127.940767,7.651067297
,37.387574,127.940767,7.651067297
,37.296584,127.894897,7.763627065
,37.296584,127.894897,7.763627065
,37.295555,127.884826,8.629477631
,37.295555,127.884826,8.629477631
,37.401969,127.960285,8.716662591
,37.401969,127.960285,8.716662591
,37.263931,127.902774,9.305161925
,37.39582,127.919658,9.334278015
,37.39582,127.919658,9.334278015
,37.383175,127.891379,9.882747672
,37.383175,127.891379,9.882747672
,37.34080122,127.862395,10.15081089
,37.341761,127.854916,10.8204317
,37.341761,127.854916,10.8204317
,37.414661,127.91442,11.38034794
,37.414661,127.91442,11.38034794
,37.240448,127.898263,11.57042326
,37.240448,127.898263,11.57042326
,37.43002,127.971386,11.73863871
,37.259298,127.870726,11.75748291
,37.259298,127.870726,11.75748291
,37.370432,127.854318,11.8561873
,37.370432,127.854318,11.8561873
,37.43185982,128.0091148,12.30493354
,37.433386,128.005146,12.39043581
,37.433386,128.005146,12.39043581
,37.342701,127.835656,12.51632485
,37.342701,127.835656,12.51632485
,37.229708,127.897653,12.58449953
,37.229708,127.897653,12.58449953
,37.332362,127.832844,12.63137983
,37.332362,127.832844,12.63137983
,37.366177,127.840515,12.78933012
,37.366177,127.840515,12.78933012
,37.366177,127.840515,12.78933012
,37.366177,127.840515,12.78933012
,37.23649978,128.0706601,12.91680458
,37.442773,127.989959,13.21456996
,37.442773,127.989959,13.21456996
,37.223889,127.895614,13.22669945
,37.223889,127.895614,13.22669945
,37.245863,127.857834,13.58544029
,37.245863,127.857834,13.58544029
,37.209687,128.042012,14.0632079
,37.209687,128.042012,14.0632079
,37.251391,128.110428,14.45222115
,37.251391,128.110428,14.45222115
,37.39034837,127.8339444,14.48575604
,37.233803,127.848912,15.06224381
,37.233803,127.848912,15.06224381
,37.233803,127.848912,15.06224381
,37.233803,127.848912,15.06224381
,37.237236,127.831606,15.99735661
,37.237236,127.831606,15.99735661
,37.363684,127.800286,16.0782548
,37.363684,127.800286,16.0782548
,37.22055,127.808686,18.73787333
,37.22055,127.808686,18.73787333
,37.276382,127.771636,18.79729997
,37.276382,127.771636,18.79729997
,37.276382,127.771636,18.79729997
,37.276382,127.771636,18.79729997
