hpid,dutyName,dutyAddr,dutyTel3,wgs84Lat,wgs84Lon,hperyn,hpopyn
A2100019,(의)영문의료재단다보스병원,"경기도 용인시 처인구 백옥대로1082번길 18, 다보스종합병원 (김량장동)",031-8021-2130,37.234641294534285,127.21049868474802,20,6
A2100122,(의)효심의료재단용인서울병원,경기도 용인시 처인구 고림로 81 (고림동),031-336-0119,37.240316373,127.2144914405,10,3
A2100052,가톨릭대학교부천성모병원,"경기도 부천시 소사로 327, 가톨릭대학교 부천성모병원 (소사동)",032-340-2100,37.4874477394264,126.79243459155,27,11
A2100012,가톨릭대학교성빈센트병원,경기도 수원시 팔달구 중부대로 93 (지동),031-249-7370,37.27792234538125,127.02744945028702,38,19
A2100040,가톨릭대학교의정부성모병원,"경기도 의정부시 천보로 271, 의정부성모병원 (금오동)",031-820-5200,37.75865547828227,127.07767290194454,59,13
A2100029,강남병원,"경기도 용인시 기흥구 중부대로 411, 강남병원 (신갈동)",031-300-0119,37.27377983891884,127.11140719951388,20,5
A2100032,경기도의료원수원병원,경기도 수원시 장안구 수성로245번길 69 (정자동),031-888-0119,37.29188165276277,126.99638776108884,17,3
A2100045,경기도의료원안성병원,"경기도 안성시 남파로 95, 경기도의료원 안성병원 (당왕동)",031-8046-5119,37.01736702955601,127.26033944589189,15,5
A2100043,경기도의료원의정부병원,경기도 의정부시 흥선로 142 (의정부동),031-828-5119,37.74108830096243,127.04255485020956,11,3
A2100193,경기도의료원이천병원,경기도 이천시 경충대로 2742 (관고동),031-630-4333,37.282694444444445,127.43266388888888,20,4
A2100035,경기도의료원파주병원,"경기도 파주시 중앙로 207, 경기도립의료원파주병원 (금촌동)",031-940-9119,37.7548802103,126.779637936,20,3
A2100031,경기도의료원포천병원,경기도 포천시 포천로 1648 (신읍동),031-539-9119,37.903264018475866,127.1983186069986,22,4
A2100003,고려대학교의과대학부속안산병원,경기도 안산시 단원구 적금로 123 (고잔동),031-412-5381,37.31885818300129,126.8250018362211,27,14
A2100007,광명성애병원,"경기도 광명시 디지털로 36, 광명성애병원 (철산동)",02-2680-7115,37.4734614743463,126.87192258470483,20,5
A2100258,국군수도병원,경기도 성남시 분당구 새마을로177번길 81 (율동),031-725-6119,37.39186666666668,127.14858611111111,14,9
A2100049,국립암센터,경기도 고양시 일산동구 일산로 323 (마두동),031-920-0119,37.664170778165285,126.78327945120732,25,15
A2100033,국민건강보험공단일산병원,"경기도 고양시 일산동구 일산로 100 (백석동,백석1동 1241외1필지 4층)",031-900-0761,37.64530592402248,126.792204040477,33,18
A2100014,근로복지공단안산병원,"경기도 안산시 상록구 구룡로 87, 근로복지공단안산병원 (일동)",031-500-1119,37.31687107499767,126.87402848671928,8,3
A2100041,남양주한양병원,경기도 남양주시 오남읍 양지로 47-55,031-510-0119,37.68238094157572,127.2043136287129,20,5
A2100051,뉴대성병원,"경기도 부천시 부천로 91, ,부흥로373번길18, 부흥로377(기존디에스병원A동) (심곡동)",032-610-1100,37.49201639843304,126.78381841037,9,3
A2100017,대아의료재단한도병원,경기도 안산시 단원구 선부광장로 103 (선부동),031-8040-1129,37.334033447174896,126.8076558459104,20,4
